MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
2.802    2.243     6.456e-016 -5.900e-018  6.456e-016    0.000
2.776    2.263     4.433e-016 -5.087e-017  4.462e-016    0.000
2.751    2.284     1.868e-016 -8.512e-017  2.052e-016    0.000
2.726    2.305    -1.150e-016 -7.116e-017  1.353e-016    0.000
2.702    2.325    -4.390e-016  1.350e-017  4.392e-016    0.000
2.679    2.346    -7.517e-016  1.345e-016  7.637e-016    0.000
2.655    2.366    -1.024e-015  2.406e-016  1.052e-015    0.000
2.632    2.387    -1.225e-015  2.693e-016  1.255e-015    0.000
2.610    2.408    -1.318e-015  1.453e-016  1.326e-015    0.000
2.588    2.428    -1.257e-015 -1.412e-016  1.265e-015    0.000
2.566    2.449    -1.032e-015 -4.840e-016  1.140e-015    0.000
2.544    2.469    -6.925e-016 -7.712e-016  1.036e-015    0.000
2.523    2.490    -3.303e-016 -9.173e-016  9.750e-016    0.000
2.503    2.511    -4.086e-017 -8.637e-016  8.647e-016    0.000
2.482    2.531     1.163e-016 -6.312e-016  6.418e-016    0.000
2.462    2.552     9.274e-017 -3.345e-016  3.471e-016    0.000
2.443    2.572    -1.679e-016 -1.233e-016  2.083e-016    0.000
2.423    2.593    -6.593e-016 -5.877e-017  6.620e-016    0.000
2.404    2.614    -1.364e-015  4.722e-017  1.365e-015    0.000
2.385    2.634    -2.253e-015  3.663e-016  2.283e-015    0.000
2.367    2.655    -3.147e-015  7.594e-016  3.238e-015    0.000
2.349    2.675    -3.764e-015  1.010e-015  3.897e-015    0.000
2.331    2.696    -3.813e-015  9.194e-016  3.923e-015    0.000
2.313    2.717    -3.108e-015  3.538e-016  3.129e-015    0.000
2.295    2.737    -1.887e-015 -4.863e-016  1.949e-015    0.000
2.278    2.758    -3.849e-016 -1.271e-015  1.328e-015    0.000
2.261    2.778     1.135e-015 -1.961e-015  2.266e-015    0.000
2.245    2.799     2.180e-015 -2.387e-015  3.233e-015    0.000
2.228    2.820     2.470e-015 -2.324e-015  3.391e-015    0.000
2.212    2.840     2.162e-015 -1.870e-015  2.858e-015    0.000
2.196    2.861     1.508e-015 -1.230e-015  1.946e-015    0.000
2.181    2.881     7.523e-016 -6.311e-016  9.819e-016    0.000
2.165    2.902     3.044e-016 -3.564e-016  4.687e-016    0.000
2.150    2.923     6.945e-017  4.348e-016  4.403e-016    0.000
2.135    2.943    -4.866e-016  3.817e-016  6.185e-016    0.000
2.120    2.964    -7.030e-016  1.747e-016  7.243e-016    0.000
2.105    2.984    -7.927e-016 -4.425e-018  7.927e-016    0.000
2.091    3.005    -7.922e-016 -7.777e-017  7.960e-016    0.000
2.077    3.026    -7.219e-016 -4.159e-017  7.231e-016    0.000
2.063    3.046    -6.136e-016  5.591e-017  6.161e-016    0.000
2.049    3.067    -4.880e-016  1.836e-016  5.214e-016    0.000
2.035    3.087    -3.576e-016  3.147e-016  4.763e-016    0.000
2.022    3.108    -2.325e-016  4.212e-016  4.812e-016    0.000
2.008    3.129    -1.225e-016  4.893e-016  5.043e-016    0.000
1.995    3.149    -3.676e-017  5.246e-016  5.258e-016    0.000
1.982    3.170     1.529e-017  5.345e-016  5.347e-016    0.000
1.969    3.190     2.492e-017  5.262e-016  5.268e-016    0.000
1.957    3.211    -1.494e-017  5.062e-016  5.064e-016    0.000
1.944    3.232    -9.055e-017  4.735e-016  4.821e-016    0.000
1.932    3.252    -1.697e-016  4.208e-016  4.538e-016    0.000
1.920    3.273    -2.198e-016  3.397e-016  4.046e-016    0.000
1.908    3.293    -2.080e-016  2.216e-016  3.040e-016    0.000
1.896    3.314    -1.062e-016  5.979e-017  1.219e-016    0.000
1.884    3.335     6.165e-017 -1.267e-016  1.409e-016    0.000
1.873    3.355     2.400e-016 -3.023e-016  3.860e-016    0.000
1.861    3.376     3.732e-016 -4.315e-016  5.705e-016    0.000
1.850    3.396     4.055e-016 -4.785e-016  6.272e-016    0.000
1.839    3.417     2.940e-016 -4.154e-016  5.089e-016    0.000
1.828    3.438     7.766e-017 -2.669e-016  2.780e-016    0.000
1.817    3.458    -1.714e-016 -7.923e-017  1.888e-016    0.000
1.806    3.479    -3.818e-016  1.014e-016  3.951e-016    0.000
1.795    3.499    -4.833e-016  2.290e-016  5.348e-016    0.000
1.785    3.520    -4.273e-016  2.696e-016  5.052e-016    0.000
1.775    3.541    -2.574e-016  2.380e-016  3.505e-016    0.000
1.764    3.561    -4.058e-017  1.623e-016  1.673e-016    0.000
1.754    3.582     1.568e-016  6.995e-017  1.717e-016    0.000
1.744    3.603     2.695e-016 -1.197e-017  2.698e-016    0.000
1.734    3.623     2.590e-016 -6.441e-017  2.669e-016    0.000
1.724    3.644     1.592e-016 -8.907e-017  1.824e-016    0.000
1.715    3.664     1.547e-017 -9.098e-017  9.228e-017    0.000
1.705    3.685    -1.272e-016 -7.486e-017  1.476e-016    0.000
1.696    3.706    -2.250e-016 -4.508e-017  2.294e-016    0.000
1.686    3.726    -2.544e-016 -7.355e-018  2.545e-016    0.000
1.677    3.747    -2.285e-016  2.954e-017  2.304e-016    0.000
1.668    3.767    -1.640e-016  5.658e-017  1.735e-016    0.000
1.659    3.788    -7.701e-017  6.480e-017  1.006e-016    0.000
1.650    3.809     1.689e-017  4.558e-017  4.861e-017    0.000
